date,sp_index,,,,,,,,
11/12/18,5002.05,,,,,,,,
11/13/18,4996.93,,,,,,,,
11/14/18,4923.11,,,,,,,,
11/15/18,4887.35,,,,,,,,
11/16/18,4823.18,,,,,,,,
11/19/18,4723.3,,,,,,,,
11/20/18,4564.16,,,,,,,,
11/21/18,4643.08,,,,,,,,
11/23/18,4655.12,,,,,,,,
11/26/18,4742.86,,,,,,,,
11/27/18,4756.66,,,,,,,,
11/28/18,4838.31,,,,,,,,
11/29/18,4813,,,,,,,,
11/30/18,4804.34,,,,,,,,
12/3/18,4874.39,,,,,,,,
12/4/18,4692.23,,,,,,,,
12/6/18,4666.72,,,,,,,,
12/7/18,4491.18,,,,,,,,
12/10/18,4503.93,,,,,,,,
12/11/18,4484.91,,,,,,,,
12/12/18,4525.72,,,,,,,,
12/13/18,4401.52,,,,,,,,
12/14/18,4350.6,,,,,,,,
12/17/18,4250.29,,,,,,,,
12/18/18,4272.49,,,,,,,,
12/19/18,4207.23,,,,,,,,
12/20/18,4132.55,,,,,,,,
12/21/18,4012.27,,,,,,,,
12/24/18,3994.46,,,,,,,,
12/26/18,4228.09,,,,,,,,
12/27/18,4217.63,,,,,,,,
12/28/18,4235.48,,,,,,,,
12/31/18,4261.25,,,,,,,,
1/2/19,4322.48,,,,,,,,
1/3/19,4263.75,,,,,,,,
1/4/19,4387.58,,,,,,,,
1/7/19,4528.54,,,,,,,,
1/8/19,4571.05,,,,,,,,
1/9/19,4608.1,,,,,,,,
1/10/19,4528.06,,,,,,,,
1/11/19,4553.58,,,,,,,,
1/14/19,4518.73,,,,,,,,
1/15/19,4532.37,,,,,,,,
1/16/19,4542.65,,,,,,,,
1/17/19,4576.62,,,,,,,,
1/18/19,4656.55,,,,,,,,
1/22/19,4543.47,,,,,,,,
1/23/19,4548.56,,,,,,,,
1/24/19,4564.83,,,,,,,,
1/25/19,4637.29,,,,,,,,
1/28/19,4624.53,,,,,,,,
1/29/19,4561.81,,,,,,,,
1/30/19,4577.59,,,,,,,,
1/31/19,4587.33,,,,,,,,
2/1/19,4552.11,,,,,,,,
2/4/19,4603.94,,,,,,,,
2/5/19,4646.64,,,,,,,,
2/6/19,4620.03,,,,,,,,
2/7/19,4587.57,,,,,,,,
2/8/19,4556.9,,,,,,,,
2/11/19,4581.82,,,,,,,,
2/12/19,4660.9,,,,,,,,
2/13/19,4661.1,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
